Team Member,words,skill,"category (hard,soft,tool)",n
aa,data,,,199186
aa,business,businessdevelopment,soft,
aa,business,businessanalytics,hard,54686
aa,team,teamwork,soft,44203
aa,science,,,41342
aa,learning,,,40464
aa,analysis,,,34695
aa,analytics,,,31990
aa,ability,,,31114
aa,development,,,31043
aa,research,research,hard,30893
aa,machine,machinelearning,hard,30647
aa,working,,,25665
aa,solutions,,,25635
aa,knowledge,,,24960
aa,models,,,23756
aa,required,,,23073
aa,scientist,,,22452
aa,technical,,,22410
aa,information,,,22061
aa,management,datamanagement,,21949
aa,management,accountmanagement,,
aa,develop,,,21247
aa,degree,,,21022
aa,support,,,20976
aa,tools,,,20974
aa,statistical,,,20954
aa,design,,,20416
aa,engineering,dataengineering,hard,20272
aa,related,,,19420
aa,systems,,,18665
aa,software,,,18467
aa,product,productmanagement,soft,18223
aa,environment,,,18037
aa,position,,,17915
aa,company,,,17548
aa,python,python,tool,17419
aa,techniques,,,17400
aa,requirements,,,17385
aa,opportunity,,,17140
aa,teams,,,17022
aa,computer,,,16880
aa,technology,,,16830
aa,status,,,16344
aa,advanced,,,16138
aa,modeling,,hard,15805
aa,projects,,,15411
aa,preferred,,,15375
aa,complex,,,15300
aa,problems,,,15143
aa,build,,,14975
aa,services,,,14868
aa,help,,,14809
aa,analytical,,,14775
aa,provide,,,14567
aa,statistics,,hard,14518
aa,products,,,14132
aa,people,,,14078
aa,across,,,13965
aa,etc,,,13882
aa,responsibilities,,,13807
aa,must,,,13651
aa,insights,,,13537
aa,understanding,,,13100
aa,algorithms,,hard,12983
aa,sql,sql,tool,12941
aa,employment,,,12843
aa,communication,communication,soft,12576
aa,customer,customersupport,soft,12474
aa,large,,,12451
aa,project,,,12436
aa,time,,,12335
aa,process,,,11550
aa,technologies,,,11518
aa,building,,,11456
aa,methods,,,11451
aa,customers,,,11444
aa,within,,,11418
aa,results,,,11243
aa,industry,,,11215
aa,equal,,,11172
aa,scientists,,,10983
aa,quality,,,10878
aa,programming,,hard,10871
aa,clients,,,10842
aa,health,,,10748
aa,performance,,,10514
aa,quantitative,,,10472
aa,apply,,,10445
aa,world,,,10435
aa,well,,,10419
aa,drive,,,10369
aa,developing,,,10338
aa,predictive,predictivemodeling,hard,10297
aa,opportunities,,,10268
aa,employer,,,10239
aa,national,,,10214
aa,best,,,10193
aa,make,,,10131
aa,key,,,10103
aa,disability,,,9913
aa,looking,,,9860
aa,processes,,,9603
aa,level,,,9479
aa,identify,,,9305
aa,operations,operationsresearch,hard,9299
aa,gender,,,9293
aa,expertise,,,9279
aa,deep,deeplearning,,9207
aa,excellent,,,9106
aa,intelligence,,,9082
aa,clinical,,,9064
aa,create,,,9057
aa,multiple,,,9016
aa,please,,,8998
aa,applicants,,,8878
aa,lead,,,8834
aa,education,,,8824
aa,needs,,,8743
aa,applications,,,8580
aa,responsible,,,8541
aa,organization,,,8515
aa,application,,,8489
aa,based,,,8432
aa,processing,,,8422
aa,relevant,,,8369
aa,candidate,,,8280
aa,join,,,8218
aa,plus,,,8189
aa,senior,,,8158
aa,impact,,,8131
aa,protected,,,8119
aa,sets,,,8100
aa,improve,,,8083
aa,global,,,8015
aa,professional,,,7964
aa,employees,,,7955
aa,internal,,,7950
aa,engineers,,,7902
aa,include,,,7897
aa,understand,,,7888
aa,mathematics,,hard,7826
aa,veteran,,,7762
aa,security,,,7748
aa,model,,,7707
aa,written,,,7684
aa,need,,,7683
aa,benefits,,,7622
aa,medical,,,7616
aa,marketing,,soft,7614
aa,sources,,,7599
aa,client,,,7553
aa,perform,,,7508
aa,analyze,,,7498
aa,leadership,,soft,7480
aa,communicate,,,7457
aa,orientation,,,7414
aa,deliver,,,7405
aa,leading,,,7397
aa,innovative,,,7363
aa,reports,,,7346
aa,phd,,,7318
aa,origin,,,7292
aa,religion,,,7236
aa,system,,,7236
aa,identity,,,7229
aa,testing,qatesting,hard,7184
aa,code,,,7167
aa,minimum,,,7157
aa,demonstrated,,,7142
aa,testing,abtesting,hard,7184
aa,cloud,cloudcomputing,hard,7112
aa,financial,,,7100
aa,mining,datamining,hard,7088
aa,language,language,tool,7079
aa,visualization,datavisualization,hard,7058
aa,stakeholders,,,6892
aa,value,,,6848
aa,training,,,6817
aa,ensure,,,6798
aa,scientific,,,6797
aa,platform,,,6789
aa,diverse,,,6781
aa,program,,,6706
aa,solve,problemsolving,soft,6626
aa,analytic,,,6421
aa,group,,,6379
aa,optimization,,hard,6379
aa,decisions,,,6375
aa,reporting,,,6372
aa,description,,,6304
aa,programs,,,6293
aa,service,,,6277
aa,career,,,6262
aa,implement,,,6260
aa,maintain,,,6242
aa,location,,,6193
aa,partners,,,6159
aa,variety,,,6141
aa,problem,,,6137
aa,languages,,,6109
aa,following,,,6049
aa,spark,,tool,6036
aa,learn,,,6025
aa,mission,,,6017
aa,age,,,6001
aa,effectively,,,5978
aa,least,,,5968
aa,practices,,,5968
aa,collaborate,,,5932
aa,strategic,,,5926
aa,healthcare,,,5869
aa,manage,,,5856
aa,test,,,5779
aa,applied,,,5734
aa,background,,,5730
aa,office,,,5728
aa,sex,,,5701
aa,external,,,5686
aa,growth,,,5673
aa,aws,,tool,5626
aa,life,,,5615
aa,vision,,,5581
aa,decision,decisiontree,hard,5553
aa,production,,,5551
aa,database,,tool,5510
aa,duties,,,5487
aa,members,,,5464
aa,candidates,,,5453
aa,care,,,5451
aa,strategy,,,5439
aa,analyses,,,5412
aa,hadoop,,tool,5392
aa,equivalent,,,5370
aa,digital,,,5368
aa,solving,,,5326
aa,databases,,,5317
aa,issues,,,5298
aa,appropriate,,,5292
aa,providing,,,5271
aa,hands,,,5265
aa,federal,,,5254
aa,action,,,5250
aa,closely,,,5241
aa,successful,,,5206
aa,success,,,5178
sb,access,,,5167
sb,future,,,5149
sb,meet,,,5145
sb,culture,,,5112
sb,scale,,,5100
sb,amp,,,5028
sb,creating,,,4984
sb,proficiency,,,4982
sb,regard,,,4982
sb,risk,,,4982
sb,employee,,,4963
sb,datasets,,,4957
sb,implementation,,,4930
sb,challenges,,,4925
sb,innovation,innovative,soft,4903
sb,summary,,,4883
sb,concepts,,,4876
sb,law,,,4849
sb,recommendations,,,4814
sb,critical,,,4773
sb,staff,,,4770
sb,take,,,4769
sb,approaches,,,4766
sb,java,java,tool,4757
sb,activities,,,4748
sb,committed,,,4743
sb,seeking,,,4710
sb,sas,sas,tool,4698
sb,proven,,,4686
sb,state,,,4674
sb,focus,,,4626
sb,provides,,,4606
sb,market,,,4601
sb,familiarity,,,4598
sb,better,,,4589
sb,platforms,,,4558
sb,department,,,4543
sb,around,,,4540
sb,capabilities,,,4526
sb,individuals,,,4494
sb,enterprise,,,4474
sb,making,,,4461
sb,questions,,,4436
sb,every,,,4432
sb,full,,,4396
sb,travel,,,4365
sb,others,,,4357
sb,masters,,,4339
sb,individual,,,4326
sb,verbal,verbalcommunication,soft,4319
sb,competitive,,,4307
sb,ideas,,,4306
sb,applying,,,4291
sb,sales,,,4282
sb,current,,,4275
sb,basic,,,4262
sb,delivery,,,4237
sb,existing,,,4192
sb,expert,,,4161
sb,great,,,4160
sb,functions,,,4151
sb,trends,trendanalysis,hard,4146
sb,additional,,,4142
sb,relationships,,,4140
sb,needed,,,4134
sb,goals,,,4129
sb,effective,,,4116
sb,user,,,4116
sb,passion,,,4110
sb,strategies,,,4104
sb,methodologies,,,4103
sb,tableau,tableau,tool,4088
sb,bachelors,,,4065
sb,year,,,4058
sb,independently,,,4048
sb,consideration,,,4036
sb,collaborative,collaboration,soft,4032
sb,operational,,,4030
sb,companies,,,4028
sb,writing,writtencommunication,soft,4021
sb,analyzing,,,4009
sb,partner,,,3995
sb,open,,,3988
sb,change,,,3981
sb,receive,,,3979
sb,record,,,3966
sb,natural,,,3952
sb,engineer,,,3950
sb,day,,,3949
sb,insurance,,,3941
sb,plans,,,3941
sb,actionable,,,3920
sb,microsoft,microsoftofficesuite,tool,3913
sb,microsoft,microsoftword,tool,3913
sb,microsoft,microsoftexcel,tool,3913
sb,microsoft,microsoftpowerpoint,tool,3913
sb,review,,,3908
sb,way,,,3903
sb,right,,,3895
sb,public,,,3893
sb,network,neuralnetwork,hard,3878
sb,power,,,3874
sb,findings,,,3868
sb,plan,,,3850
sb,assist,,,3838
sb,procedures,,,3825
sb,used,,,3820
sb,growing,,,3815
sb,planning,,,3798
sb,laboratory,,,3780
sb,available,,,3779
